epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7596,2.21205,4.45016,1.46994,0.00667,0.33049,0.01661,0.00646,1.93343,4.30589,1.28687,5e-05,5e-05,5e-05
2,73.4969,1.94985,4.19383,1.33149,0.01987,0.46328,0.07083,0.0417,1.62171,4.19122,1.06697,0.00010637,0.00010637,0.00010637
3,107.118,1.64662,3.79418,1.14725,0.01235,0.56315,0.05399,0.02211,1.73498,4.19989,1.05597,0.00015878,0.00015878,0.00015878
4,140.061,1.60521,3.47825,1.06202,0.01267,0.70636,0.08892,0.04629,1.54692,4.09805,1.01381,0.00020723,0.00020723,0.00020723
5,174.911,1.62485,3.22327,1.07213,0.01257,0.73833,0.20229,0.10896,1.37443,4.00597,0.98146,0.00025172,0.00025172,0.00025172
6,208.454,1.62041,2.9054,1.098,0.01261,0.73169,0.29742,0.18684,1.30232,3.86947,0.96241,0.00029225,0.00029225,0.00029225
7,241.939,1.58602,2.57105,1.08178,0.01443,0.78468,0.33393,0.22505,1.33618,3.76264,0.97066,0.00032882,0.00032882,0.00032882
8,275.746,1.58286,2.32258,1.08548,0.01431,0.75256,0.434,0.27053,1.35898,3.60907,0.983,0.00036143,0.00036143,0.00036143
9,311.356,1.4889,2.16987,1.06778,0.01702,0.81064,0.42683,0.27599,1.36297,3.47701,0.98545,0.00039008,0.00039008,0.00039008
10,344.923,1.43813,1.97207,1.05486,0.66093,0.20776,0.45027,0.29591,1.31369,3.37239,0.97433,0.00041477,0.00041477,0.00041477
11,382.324,1.43659,1.90201,1.05496,0.9611,0.08,0.48791,0.30316,1.36468,3.28449,0.99265,0.0004355,0.0004355,0.0004355
12,417.48,1.39958,1.84624,1.06914,0.95559,0.14238,0.55143,0.36233,1.26355,3.14755,0.95361,0.00045227,0.00045227,0.00045227
13,451.007,1.35252,1.73236,1.0312,0.89804,0.23312,0.56719,0.35202,1.34145,3.08594,0.97518,0.00046508,0.00046508,0.00046508
14,484.326,1.36477,1.71752,1.03321,0.89403,0.25882,0.64946,0.42595,1.2797,2.851,0.96349,0.00047393,0.00047393,0.00047393
15,517.357,1.35119,1.66316,1.03941,0.87118,0.25292,0.66653,0.42015,1.33242,2.7433,0.982,0.00047882,0.00047882,0.00047882
16,550.621,1.35524,1.63865,1.0501,0.83862,0.25233,0.66231,0.41696,1.31829,2.59102,0.99114,0.00047975,0.00047975,0.00047975
17,583.941,1.37165,1.64091,1.04557,0.83868,0.29576,0.67079,0.42304,1.32424,2.4876,0.99548,0.000472,0.000472,0.000472
18,617.19,1.35123,1.60417,1.05319,0.70056,0.56114,0.72595,0.45424,1.41115,2.23487,1.02922,0.000439,0.000439,0.000439
19,667.607,1.32238,1.50835,1.02405,0.68144,0.58933,0.72634,0.44622,1.41963,2.16909,1.02914,0.000406,0.000406,0.000406
20,710.226,1.25459,1.43471,1.00611,0.64242,0.67788,0.7325,0.46061,1.41133,2.07851,1.02132,0.000373,0.000373,0.000373
21,744.145,1.20847,1.7093,1.01105,0.62928,0.66696,0.72011,0.44144,1.45101,2.08027,1.03855,0.00034,0.00034,0.00034
22,776.119,1.2203,1.60476,1.02826,0.6251,0.63936,0.71839,0.44732,1.42323,2.05221,1.03093,0.000307,0.000307,0.000307
23,809.169,1.1897,1.52426,0.99967,0.65185,0.66249,0.7325,0.46402,1.3596,1.95214,1.01392,0.000274,0.000274,0.000274
24,841.077,1.21853,1.52697,1.01363,0.6939,0.70304,0.77879,0.51677,1.28696,1.7116,0.99616,0.000241,0.000241,0.000241
25,872.795,1.1719,1.46038,0.98786,0.71514,0.67995,0.78497,0.52499,1.2939,1.63226,0.99408,0.000208,0.000208,0.000208
26,905.501,1.20786,1.44392,1.00422,0.79533,0.69528,0.82557,0.56017,1.27706,1.48507,0.98674,0.000175,0.000175,0.000175
27,939.221,1.18728,1.39484,1.00481,0.75286,0.66903,0.82435,0.56766,1.25227,1.45722,0.98134,0.000142,0.000142,0.000142
28,972.54,1.12412,1.38048,0.98976,0.84404,0.63721,0.83612,0.56961,1.23291,1.444,0.9826,0.000109,0.000109,0.000109
29,1005.59,1.16739,1.38502,0.99135,0.83683,0.6446,0.83666,0.56425,1.23389,1.44043,0.98582,7.6e-05,7.6e-05,7.6e-05
30,1037.43,1.14855,1.31882,0.98562,0.83293,0.649,0.83659,0.56757,1.23186,1.41059,0.98498,4.3e-05,4.3e-05,4.3e-05
