epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.058,1.60112,5.04214,0.00547,0.0084,0.72101,0.11117,0.06691,1.0999,4.6545,0.00554,0.000325397,0.000325397,0.000325397
2,771.408,1.39946,3.47909,0.00448,0.53077,0.30275,0.40323,0.27308,1.14752,3.24483,0.00579,0.000636992,0.000636992,0.000636992
3,1131.28,1.3743,2.82111,0.00424,0.57047,0.42421,0.51177,0.32893,1.20637,2.7844,0.00593,0.000926587,0.000926587,0.000926587
4,1479.57,1.33091,2.43646,0.00431,0.55693,0.6208,0.6463,0.452,1.07943,2.24967,0.00556,0.000901,0.000901,0.000901
5,1839.86,1.2936,2.09187,0.00413,0.67968,0.63453,0.74092,0.52434,1.12398,1.84896,0.00573,0.000868,0.000868,0.000868
6,2192.35,1.32671,1.83358,0.00422,0.70473,0.68111,0.76545,0.53306,1.15558,1.70432,0.00602,0.000835,0.000835,0.000835
7,2571.33,1.34719,1.73304,0.00431,0.69775,0.74029,0.7781,0.5356,1.1862,1.56757,0.00589,0.000802,0.000802,0.000802
8,2916.03,1.29848,1.5492,0.00418,0.6964,0.76622,0.80556,0.59092,1.09482,1.41326,0.00556,0.000769,0.000769,0.000769
9,3273.59,1.29827,1.41553,0.00411,0.77846,0.70859,0.80468,0.5826,1.10392,1.29974,0.0056,0.000736,0.000736,0.000736
10,3657.15,1.27682,1.29625,0.00399,0.77227,0.76234,0.82599,0.60121,1.09339,1.22105,0.00558,0.000703,0.000703,0.000703
11,4944.76,1.25516,1.2661,0.00399,0.7456,0.7329,0.8211,0.5969,1.08327,1.21102,0.00552,0.00067,0.00067,0.00067
12,5269.59,1.26958,1.18728,0.00391,0.83308,0.71605,0.84907,0.60435,1.14336,1.09123,0.00585,0.000637,0.000637,0.000637
13,5594.98,1.24569,1.12295,0.00386,0.76831,0.82538,0.84809,0.62385,1.06559,1.01974,0.00532,0.000604,0.000604,0.000604
14,5944.34,1.22352,1.08116,0.00384,0.72944,0.85276,0.87057,0.64344,1.05843,0.95226,0.00529,0.000571,0.000571,0.000571
15,6292.01,1.23284,1.03557,0.00388,0.75902,0.86237,0.87317,0.62915,1.11573,0.93444,0.00569,0.000538,0.000538,0.000538
16,6870.38,1.22638,0.98416,0.00377,0.77448,0.8307,0.87178,0.64316,1.05505,0.88545,0.00535,0.000505,0.000505,0.000505
17,7203.57,1.21785,0.97995,0.00377,0.78684,0.83564,0.87865,0.65558,1.04669,0.83843,0.00512,0.000472,0.000472,0.000472
18,7545.56,1.22127,0.94875,0.00385,0.78994,0.82442,0.87586,0.64721,1.05244,0.88735,0.00525,0.000439,0.000439,0.000439
19,7896.6,1.16163,0.88765,0.00366,0.80185,0.80935,0.88007,0.6379,1.09704,0.8604,0.0055,0.000406,0.000406,0.000406
20,8239.29,1.19626,0.86608,0.00364,0.79091,0.80663,0.86998,0.63828,1.0603,0.84243,0.0054,0.000373,0.000373,0.000373
21,8560.03,1.17894,0.93519,0.00419,0.84457,0.81002,0.88524,0.65007,1.07946,0.82758,0.0054,0.00034,0.00034,0.00034
22,8874.47,1.1353,0.85094,0.00405,0.79428,0.81667,0.87694,0.64449,1.07125,0.83449,0.00536,0.000307,0.000307,0.000307
23,9192.26,1.11677,0.80745,0.00393,0.83778,0.84249,0.89282,0.66003,1.05559,0.75954,0.00523,0.000274,0.000274,0.000274
24,9508.29,1.08139,0.76142,0.00385,0.85718,0.79463,0.88819,0.65739,1.05795,0.76451,0.00525,0.000241,0.000241,0.000241
25,9826.8,1.0856,0.76048,0.00387,0.84235,0.8203,0.89084,0.66951,1.03211,0.72279,0.00508,0.000208,0.000208,0.000208
26,10147.9,1.07768,0.75099,0.0038,0.82213,0.8334,0.89243,0.66784,1.05408,0.72535,0.0052,0.000175,0.000175,0.000175
27,10463,1.07562,0.71911,0.0038,0.80582,0.8382,0.89211,0.66542,1.04283,0.72366,0.0052,0.000142,0.000142,0.000142
28,10785.5,1.06543,0.70533,0.00382,0.79568,0.86295,0.89446,0.66767,1.04467,0.70902,0.00517,0.000109,0.000109,0.000109
29,11106.9,1.06728,0.70781,0.00367,0.85322,0.82495,0.89538,0.66602,1.04729,0.7106,0.00519,7.6e-05,7.6e-05,7.6e-05
30,11425.6,1.05845,0.70289,0.00372,0.84316,0.82221,0.89764,0.67307,1.04189,0.70331,0.00516,4.3e-05,4.3e-05,4.3e-05
