epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.073,1.71961,3.41404,1.17195,0.01414,0.89083,0.33987,0.21112,1.27109,3.39378,0.99306,0.000325397,0.000325397,0.000325397
2,454.724,1.3874,1.92099,1.07017,0.97444,0.07483,0.55913,0.35296,1.41398,3.03641,1.13184,0.000636992,0.000636992,0.000636992
3,672.908,1.34963,1.48997,1.0753,0.75837,0.64832,0.77132,0.46635,1.44048,1.95086,1.11086,0.000926587,0.000926587,0.000926587
4,897.048,1.29625,1.26294,1.06347,0.77745,0.76966,0.84443,0.56457,1.2071,1.35628,1.01818,0.000901,0.000901,0.000901
5,1127.73,1.2713,1.15623,1.05885,0.79972,0.828,0.8773,0.60977,1.17453,1.21131,1.01776,0.000868,0.000868,0.000868
6,1343.71,1.22978,1.07728,1.03645,0.80382,0.81067,0.86898,0.60153,1.10642,1.01502,0.99964,0.000835,0.000835,0.000835
7,1562.74,1.22619,1.01174,1.02186,0.82025,0.83352,0.88972,0.60706,1.15657,1.06014,1.00718,0.000802,0.000802,0.000802
8,1793.94,1.19916,1.00369,1.01787,0.8394,0.88399,0.90863,0.65536,1.08443,0.98206,0.98083,0.000769,0.000769,0.000769
9,2011.96,1.19333,0.95112,1.01654,0.8322,0.84729,0.89593,0.63693,1.08919,0.94223,0.98822,0.000736,0.000736,0.000736
10,2242.82,1.17819,0.9324,1.01641,0.8613,0.87651,0.90964,0.63392,1.08184,0.9088,1.00163,0.000703,0.000703,0.000703
11,2467.12,1.16385,0.92029,1.00496,0.87178,0.86881,0.90828,0.65479,1.05018,0.86127,0.9721,0.00067,0.00067,0.00067
12,2691.44,1.11539,0.87501,0.99206,0.87115,0.88139,0.91914,0.66682,1.05045,0.8465,0.96875,0.000637,0.000637,0.000637
13,2908.09,1.11072,0.84038,0.99306,0.86071,0.85594,0.90172,0.65085,1.08877,0.89978,0.97628,0.000604,0.000604,0.000604
14,3127.63,1.14777,0.8434,1.00562,0.87438,0.88107,0.91877,0.65389,1.10221,0.89161,0.98579,0.000571,0.000571,0.000571
15,3365.16,1.12807,0.81392,0.99274,0.86073,0.8844,0.92596,0.65675,1.10991,0.82569,0.98268,0.000538,0.000538,0.000538
16,3586.88,1.08616,0.78759,0.98299,0.87877,0.88396,0.92365,0.66278,1.0811,0.85501,0.98008,0.000505,0.000505,0.000505
17,3811.56,1.11201,0.79074,0.9854,0.90711,0.87249,0.92348,0.62316,1.2147,0.90024,1.02885,0.000472,0.000472,0.000472
18,4034.47,1.09918,0.77592,0.98555,0.85082,0.91295,0.92214,0.68042,1.02583,0.76173,0.96701,0.000439,0.000439,0.000439
19,4263.17,1.07551,0.76094,0.9828,0.85495,0.91091,0.92071,0.66564,1.04407,0.76564,0.97264,0.000406,0.000406,0.000406
20,4481.1,1.06403,0.73495,0.97682,0.86134,0.86492,0.9118,0.65372,1.07871,0.7833,0.99451,0.000373,0.000373,0.000373
21,4700.58,1.05781,0.76069,0.98584,0.86446,0.88716,0.91454,0.65454,1.09296,0.76819,0.98833,0.00034,0.00034,0.00034
22,4919.84,1.02068,0.71976,0.974,0.87261,0.90584,0.91686,0.66832,1.06022,0.75587,0.97146,0.000307,0.000307,0.000307
23,5135.49,1.00569,0.69537,0.96064,0.89042,0.88507,0.91755,0.68342,0.99866,0.73101,0.95542,0.000274,0.000274,0.000274
24,5351.27,1.00032,0.68164,0.96326,0.87189,0.90417,0.92786,0.68951,0.99952,0.70717,0.95565,0.000241,0.000241,0.000241
25,5568.38,0.98591,0.67404,0.96639,0.84729,0.90957,0.91756,0.67547,1.01437,0.73236,0.96808,0.000208,0.000208,0.000208
26,5785.35,0.97216,0.65671,0.96007,0.86536,0.90398,0.92274,0.68155,1.02607,0.71243,0.96207,0.000175,0.000175,0.000175
27,6003.37,0.96163,0.63503,0.95115,0.8854,0.88473,0.92174,0.67512,1.04589,0.7193,0.96718,0.000142,0.000142,0.000142
28,6232.48,0.95644,0.6282,0.95427,0.85183,0.91344,0.92022,0.68217,1.01592,0.71645,0.9616,0.000109,0.000109,0.000109
29,6447.25,0.94322,0.62467,0.94,0.8802,0.89645,0.92505,0.68265,1.02895,0.69783,0.96558,7.6e-05,7.6e-05,7.6e-05
30,6667.69,0.93835,0.61992,0.93881,0.89529,0.88746,0.92784,0.68316,1.03638,0.69196,0.96301,4.3e-05,4.3e-05,4.3e-05
